  Bx (T), %err Bx,   By (T), %err By,  Bz (T),  %err Bz
-1.9015773, -0.06, -1.9026652, -0.08, -1.8955546, -0.06
-1.7960900, -0.01, -1.7928344, -0.06, -1.7496602,  0.00
-1.6159687,  0.02, -1.6422737, -0.04, -1.5860391,  0.02
-1.4266983,  0.04, -1.4576174, -0.03, -1.4018650,  0.03
-1.2300762,  0.02, -1.2608392, -0.01, -1.2058365,  0.03
-0.9944008,  0.02, -1.0218891,  0.00, -1.0048302,  0.03
-0.7988468,  0.03, -0.8217296,  0.01, -0.7731120,  0.03
-0.5945754,  0.03, -0.6186043,  0.00, -0.5745788,  0.02
-0.3937709,  0.01, -0.4117822,  0.01, -0.3755882,  0.01
-0.2044580,  0.01, -0.2031295,  0.00, -0.1911603,  0.01
 0.1876983,  0.00,  0.2126305,  0.00,  0.1958344,  0.01
 0.4155421,  0.01,  0.4191639,  0.00,  0.4051624,  0.01
 0.5991425,  0.01,  0.6254041,  0.00,  0.5981705,  0.02
 0.7956291,  0.02,  0.8270614,  0.00,  0.7963803,  0.02
 0.9900618,  0.04,  1.0245552,  0.00,  0.9915648,  0.04
 1.2277001,  0.05,  1.2617739,  0.00,  1.2242411,  0.05
 1.4243074,  0.04,  1.4575338, -0.02,  1.4161185,  0.04
 1.6096007,  0.03,  1.6415303, -0.02,  1.5960344,  0.03
 1.7785251,  0.00,  1.7924218, -0.06,  1.7549084, -0.01
 1.9041628, -0.09,  1.9023067, -0.08,  1.8830917, -0.07
